Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Market,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
AMZ-2023-00001,2023-08-02,2023-08-03,Same Day,CUST-87397,Jessica Johnson,Consumer,United States,Augusta,Georgia,39256,West,US,PROD-BIN-2424,Office Supplies,Binders,Mead Zipper Binder,480.15,9,0.05,127.15
AMZ-2021-00002,2021-03-27,2021-03-31,Standard Class,CUST-46421,Robert Miller,Corporate,Ghana,Ghana City,Ghana Region,10851,Africa,Africa,PROD-TAB-6574,Technology,Tablets,Lenovo Tab P12,648.56,6,0.5,83.9
AMZ-2024-00003,2024-02-03,2024-02-07,Same Day,CUST-85674,Michael Kumar,Consumer,Nigeria,Nigeria City,Nigeria Region,59615,Africa,Africa,PROD-LAP-6925,Technology,Laptops,Lenovo ThinkPad X1,189.78,2,0.05,58.82
AMZ-2021-00004,2021-07-23,2021-07-27,Second Class,CUST-99593,Rahul Williams,Home Office,Kuwait,Kuwait City,Kuwait Region,31319,EMEA,EMEA,PROD-BOO-5374,Furniture,Bookcases,Sauder 5-Shelf,1809.5,8,0.2,237.02
AMZ-2023-00005,2023-11-03,2023-11-06,Second Class,CUST-18675,Michael Nair,Home Office,Ontario,Ontario City,Ontario Region,40021,Canada,Canada,PROD-MAC-5386,Technology,Machines,Brother Fax Machine,4680.84,7,0.3,434.67
AMZ-2021-00006,2021-05-20,2021-05-26,Same Day,CUST-57447,Linda Jones,Home Office,Senegal,Senegal City,Senegal Region,44438,Africa,Africa,PROD-SUP-7543,Office Supplies,Supplies,BIC Pens Pack,230.97,3,0,66.43
AMZ-2023-00007,2023-05-06,2023-05-07,Second Class,CUST-99166,Sneha Brown,Home Office,Venezuela,Venezuela City,Venezuela Region,88104,LATAM,LATAM,PROD-FUR-1188,Furniture,Furnishings,Desk Lamp LED,2047.61,6,0,282.67
AMZ-2022-00008,2022-07-18,2022-07-19,Same Day,CUST-93748,Thomas Lewis,Consumer,Qatar,Qatar City,Qatar Region,75612,EMEA,EMEA,PROD-LAP-5889,Technology,Laptops,Dell XPS 15,1675.34,9,0,384.8
AMZ-2020-00009,2020-02-09,2020-02-10,Same Day,CUST-21226,Sneha Martin,Consumer,South Korea,South Korea City,South Korea Region,41385,APAC,APAC,PROD-ACC-2290,Technology,Accessories,Webcam HD,5574.67,8,0.4,554.89
AMZ-2021-00010,2021-03-09,2021-03-14,Standard Class,CUST-69177,Patricia Davis,Consumer,Alberta,Alberta City,Alberta Region,50857,Canada,Canada,PROD-BOO-9479,Furniture,Bookcases,Ameriwood Bookcase,374.14,10,0.05,19.51
AMZ-2021-00011,2021-04-13,2021-04-14,Same Day,CUST-27342,Sneha Nair,Home Office,United States,Charlotte,North Carolina,77391,West,US,PROD-STO-9834,Furniture,Storage,Iris USA Storage,890.6,7,0.05,69.73
AMZ-2021-00012,2021-12-26,2021-12-30,Second Class,CUST-54473,Pooja Shah,Consumer,Ecuador,Ecuador City,Ecuador Region,17100,LATAM,LATAM,PROD-BIN-7596,Office Supplies,Binders,Avery Heavy Duty,290.71,7,0,38.83
AMZ-2024-00013,2024-11-25,2024-11-26,Standard Class,CUST-22224,Meena Gupta,Consumer,Guatemala,Guatemala City,Guatemala Region,22833,LATAM,LATAM,PROD-TAB-1241,Technology,Tablets,Amazon Fire HD,1381.31,7,0,137.29
AMZ-2022-00014,2022-03-10,2022-03-13,Second Class,CUST-34890,Barbara Miller,Consumer,New Brunswick,New Brunswick City,New Brunswick Region,47388,Canada,Canada,PROD-FUR-3536,Furniture,Furnishings,Cable Management,254.66,1,0,57.36
AMZ-2020-00015,2020-04-26,2020-05-01,First Class,CUST-84668,Linda Robinson,Home Office,United States,Seattle,Washington,87992,East,US,PROD-LAB-2964,Office Supplies,Labels,Maco Labels,475.82,10,0.4,68.95
AMZ-2021-00016,2021-02-22,2021-02-28,First Class,CUST-69929,David Nair,Consumer,Kuwait,Kuwait City,Kuwait Region,41285,EMEA,EMEA,PROD-STO-5915,Furniture,Storage,Iris USA Storage,574.87,2,0,121.46
AMZ-2020-00017,2020-09-28,2020-10-01,Standard Class,CUST-11025,Priya Mehta,Home Office,United States,Allentown,Pennsylvania,47353,West,US,PROD-FUR-9666,Furniture,Furnishings,Desk Lamp LED,869.13,3,0.1,73.55
AMZ-2024-00018,2024-02-29,2024-03-05,Standard Class,CUST-93130,Divya Wilson,Home Office,Netherlands,Netherlands City,Netherlands Region,46930,EU,EU,PROD-LAB-4335,Office Supplies,Labels,ULINE Labels,136.26,2,0.2,40.72
